id	Ajap1	Ajap10	Ajap100	Ajap101	Ajap102	Ajap103	Ajap104	Ajap105	Ajap106	Ajap107	Ajap108	Ajap11	Ajap12	Ajap14	Ajap15	Ajap16	Ajap17	Ajap18	Ajap2	Ajap20	Ajap21	Ajap22	Ajap23	Ajap24	Ajap25	Ajap26	Ajap27	Ajap28	Ajap29	Ajap3	Ajap30	Ajap31	Ajap32	Ajap33	Ajap34	Ajap35	Ajap36	Ajap37	Ajap38	Ajap39	Ajap40	Ajap41	Ajap42	Ajap43	Ajap44	Ajap45	Ajap46	Ajap49	Ajap5	Ajap50	Ajap51	Ajap52	Ajap53	Ajap54	Ajap55	Ajap56	Ajap57	Ajap58	Ajap59	Ajap60	Ajap61	Ajap63	Ajap64	Ajap65	Ajap66	Ajap67	Ajap68	Ajap69	Ajap70	Ajap72	Ajap73	Ajap74	Ajap75	Ajap77	Ajap78	Ajap8	Ajap80	Ajap81	Ajap82	Ajap83	Ajap84	Ajap85	Ajap86	Ajap89	Ajap9	Ajap90	Ajap91	Ajap92	Ajap93	Ajap94	Ajap95	Ajap96	Ajap97	Ajap98	Ajap99
9	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	na	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A
10	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	na	A:B	A:B	A:A	A:A	na	A:B	A:A	A:B	A:A	A:B	A:B	A:A	na	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	na	A:A	A:A	na	A:B	A:A	A:A	na	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A
11	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A	A:A	na	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	na	na	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A
12	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	na	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	na	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B
13	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	na	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	na	A:A	A:B	A:A	A:A	A:A	A:B	na	A:B	A:A	A:B	A:B	A:A	A:A	A:A
14	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	na	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	na	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B
15	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	na	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	na	na	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	na	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B
16	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	na	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A
17	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	na	A:B	A:B	A:A	A:B	na	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A
18	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	na	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	na	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	na	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	na	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	na	A:A	A:B	A:B	A:A	A:A	A:A
19	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	na	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	na	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	na	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A
20	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	na	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	na	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B
21	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	na	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	na	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	na	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B
22	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	na	A:B	A:B	A:A	A:B	A:B	na	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	na	A:A	A:B	A:B	A:A	A:A	A:B	A:A	na	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A
23	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	na	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	na	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B
24	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	na	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A
25	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	na	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	na	A:B	na	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B
26	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A	A:A	A:B	na	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A
27	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	na	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	na	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	na	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A	A:B	na	A:A	A:B	A:A	A:A	na	A:A	A:B	A:A	A:B	na	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A
28	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	na	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B
29	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	na	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	na	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	na	A:B	A:A	A:A
30	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	na	A:B	A:A	A:A	A:B	A:B	A:B	na	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B
31	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	A:B	A:A	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B
32	na	A:A	na	A:A	A:A	A:A	A:A	A:A	na	A:A	na	na	A:A	A:A	A:A	na	A:A	A:A	na	na	A:A	A:A	na	na	na	A:A	A:A	na	A:A	A:A	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	na	na	na	A:A	A:A	A:A	A:A	na	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	na	na	A:A	A:A	na	na	A:A	A:A	A:A	A:A	na	na	A:A	A:A	A:A	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A
33	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	na	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	na	A:B	A:B	A:B	A:A	na	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B
